User_SubFunctional_Area,User_Functional_Area,User_JobTitle,User_ProfileTitle,User_Industry,User_Experience (Years),User_Skills,Relevant_Degree,Releveant_Cert,Industry,Sector
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,accountant,,advertising   mr   pr   events,3.5,"purchases stores and equipment,sales",0,0,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administatrative,,advertising   mr   pr   events,4.33,exhibit self motiv,0,0,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admission executive,,advertising   mr   pr   events,4.75,"c,java,oracle 11g",0,0,advertising,mrprevents
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate manager,communications specialist; mba with 5+ years of experience in corporate communications & marcom,advertising   mr   pr   events,5.08,"advertising,corporate communications,corporate communicat,advertising & media,advertising & media,corporate communicat",0,0,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin executive  and media coordinator,,advertising   mr   pr   events,5.33,"linux general,system administratio,unix   general,windows7,networkings",0,0,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix adminstration  and network support,aix administrator,advertising   mr   pr   events,6,"administering aix se,managing lease line,network support such,handling mac devices,routing ;switching;o",0,1,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,,advertising   mr   pr   events,6.08,"active directory,networkings,netbackup,system administratio,catalogs,linux general,unix   general",0,0,advertising,mrprevents
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,administrative manager,2d designer & 3d designer ; it,advertising   mr   pr   events,6.08,creative experts exh,0,0,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administration it; accounts,administration it; accounts ,advertising   mr   pr   events,7,"ms office,ms office,management accounting,hardware & networkin,mail  lotus 8.2 & ou,administration  fron",0,0,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrative facility manager,,advertising   mr   pr   events,7,"machining,contract management,customer service ski,facilities managemen,facility management",0,0,advertising,mrprevents
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,admin department,,advertising   mr   pr   events,8,eenadu television,0,0,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,announcer,,advertising   mr   pr   events,8,"market comm.,advertising & media,do smart work",0,0,advertising,mrprevents
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,business pramotion head,cv sonal,advertising   mr   pr   events,8,markting & computer,0,0,advertising,mrprevents
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,area service incharge,,advertising   mr   pr   events,11,"networkings,pchardware,ccna",0,1,advertising,mrprevents
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant manager it,assistant manager it,advertising   mr   pr   events,11,"it service management,wlan,windows xp,c,smtp,networkings,a+,xhtml,ubuntu,technical support,n+",0,1,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,ambience group; noida,,advertising   mr   pr   events,11.5,"softeware,internet softeware,system softeware,system analysis,system development lifecycle,linux   general,operating systems,utility softeware,windows 2000 professional,windows 2000 server,windows nt client,windows xp,symbian,systems database administration,internet security,network configuration,network topology,system administration,windows nt administration,back office processing,knowledge and information processing,handling customer calls,monitoring calls,database management,winrunner,internet technology,win32,windows 2003,sharepoint,winfiol,windows kernel,nortel wireless",0,0,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin head,desktop support engineer,agriculture   dairy,0.5,"system administration,desktop admin,bpo",0,0,agriculture,dairy
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,agriculture assistant,,agriculture   dairy,0.5,"java,agriculture assistan",0,0,agriculture,dairy
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,accountant,accountant,agriculture   dairy,1,"data entry,ms office,installin windows;as,tally9,ms excel",0,0,agriculture,dairy
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,activation educative network,dibyaranjan swain's cv,agriculture   dairy,1,pgdca,0,0,agriculture,dairy
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,call centre,,agriculture   dairy,1,,0,0,telecom,isp
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,col,chandausi,agriculture   dairy,1.08,"1 years,colour graphics",0,0,agriculture,dairy
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,col,chandausi,agriculture   dairy,1.08,"1 years,colour graphics,colour graphics,colour graphics,colour graphics,colour graphics,colour graphics,colour graphics,colour graphics",0,0,agriculture,dairy
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,agm administration  and office work,cv,agriculture   dairy,1.67,"oracle forms,[u'']mis fms",0,0,agriculture,dairy
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistant computer,,agriculture   dairy,1.67,"dbms servers,java,j2ee; dbms; c; c++;",0,0,agriculture,dairy
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,agriculture,balaram mahato,agriculture   dairy,2,"practicak,1,computer application",0,0,agriculture,dairy
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistant,computer hardware maintenance and all office works like deo; etc.,agriculture   dairy,2.17,"banking operations,computer maintenance repair,system administration,cashier,clerk cum cashier i,deo,computer operator",0,0,agriculture,dairy
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,accounted,m.a,agriculture   dairy,3,"data entry,traveling,data oprating; m.s o,data oprator,accounted,computertrainer,accountat",0,1,agriculture,dairy
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,area manegar,,agriculture   dairy,3.33,i hard worker,0,0,agriculture,dairy
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin executive,,agriculture   dairy,4,networkings,0,0,agriculture,dairy
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant deputy manager computer architecture,,agriculture   dairy,4,altium,0,0,agriculture,dairy
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,backend manager,,agriculture   dairy,4.25,other computer cours,0,0,agriculture,dairy
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,adsf,network administrator,agriculture   dairy,5,"firewalls,resolution,network administration,link load balancer,server load balancer",0,0,agriculture,dairy
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,archives clerk,,agriculture   dairy,7.67,"networkings,system administratio,investigation,maintaining severs",0,0,agriculture,dairy
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,kjhkjhkjhkjh,unknown,agriculture   dairy,10,notkljhkjh,0,0,agriculture,dairy
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,agronomist,,agriculture   dairy,15.7,"agricultural sciences natural resources,network engineer",0,0,agriculture,dairy
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,animation,,animation,0.25,"hardware and networking,hindi english",0,0,animation,animation
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,data admin,prashant cv,animation,3.67,"hardware & networkin,desktop engineer",0,0,animation,animation
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,2 d flash animator,flash animator,animation,4.42,"adobe photoshop,indesign,flash,flash animation",0,0,animation,animation
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin representative,senior admin executive,animation,12,"administration,hotel management;tra,office maintenance",0,0,animation,animation
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,engineer trainee,b.tech in ece with vlsi & plc training,architecture   interior design,0.5,"vhdl verilog and simulation tools,vlsi,plc programming,robotics",1,0,architecture,interiordesign
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,architect,,architecture   interior design,0.58,"automated,review,sketchup,photoshop",0,0,architecture,interiordesign
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,autocad 2 d  and 3 d,intrested in construction line,architecture   interior design,3,"mdt,autocad 2d &amp; 3d",0,0,architecture,interiordesign
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrative manager desktop manager,desktop support manager   administration manager,architecture   interior design,3.25,"photo editing,hardware and network,working with ms offi,basics of computers,sales and marketing",0,0,architecture,interiordesign
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,acting team leader,,architecture   interior design,4.25,"networkings,system administratio,linux general,unix   general,windows7",0,0,architecture,interiordesign
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,autocad draughtsman,autocad draughtsman,architecture   interior design,4.67,autocad draughtsman,0,0,architecture,interiordesign
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,admin,architecture   interior design,5,"dhcp,dhcp server,networking protocols,tcp ip,dns,hardware &amp; netwo,assembling",0,0,architecture,interiordesign
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,3 d graphics,,architecture   interior design,5.5,,0,0,it,hardwarenetworking
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,10.02 year technical experience excellent server; software security troubleshooting ski,,architecture   interior design,10.2,"windows7 server 2003,isa server 2004 2006,win xp 7 8,ntbackup; acronis ba,norton antivirus cor,prevention of data l,microsoft active dir,system administratio,windows7,networkings",0,0,architecture,interiordesign
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant manager,,architecture   interior design,12.8,"anti virus,firewalls,systems &,server management,network administration,mcsa,active directory",1,1,architecture,interiordesign
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant manager,system & network administrator,architecture   interior design,12.8,"dhcp server,firewalls,network monitoring &,specialty,systems &,server management,network administration,specialty,mcsa,active directory,v lan,syamntec anti virus,windows server admin",1,1,architecture,interiordesign
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,computer opreator cyber cafe,,astrology,1.33,"1,hardwere & networkin,iti copa,1 year computer opre,6 month exprience",0,0,astrology,astrology
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,accountant,,astrology,1.5,,0,0,telecom,isp
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,hyjmu6yhm,,astrology,1.67,mjnm m,0,0,astrology,astrology
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin head,,astrology,5.17,"netwrokiings,netwroki",0,1,astrology,astrology
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,black magic specialist vashikaran specialist babaji+91,,astrology,15.8,"pandit avinash bharg,pandit avinash bharg",0,0,astrology,astrology
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,trainee,,automobile   auto ancillaries,0.08,academic,0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,hardware design engineer,hardware design engineer,automobile   auto ancillaries,0.17,"army,microcontrollers,operating systems,xilinx   embedded,rtos,java,embedded c,xilinx,android app",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,intern,intern,automobile   auto ancillaries,0.42,"embedded programing,verilog programming,linux scripting",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,apprenties,10+2 & i.t.i.,automobile   auto ancillaries,0.5,"process training,technical training,6 month,66month",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,cnc machine programmer; computer auto cad desigening,,automobile   auto ancillaries,0.5,computer auto cad de,0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,design engineer,intern,automobile   auto ancillaries,0.5,"c,verilog,8051 mc programming,c,c++,verilog",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded engineer,be fresher,automobile   auto ancillaries,0.58,"embedded software cellular wireless,handling all 8;16 an,experience in workin,languages known c;c+",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,jobs,hardware,automobile   auto ancillaries,0.58,"sales,hardware networker",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,automobile service,iti fitter,automobile   auto ancillaries,0.58,"completed credit cou,basic computer,basic welding,basic electrical",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,graduate engineer trainee,graduate engineer trainee,automobile   auto ancillaries,0.75,"automotive application,automotive embedded electronics,automotive engineering,c,eclipse,embedded c,hardware design,matlab,arduino programming",1,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,onsite trainee,searching for full time employment in automotive electronics  software hardware ,automobile   auto ancillaries,0.75,"canalyzer,microsoft visual studio,modelsim,can,linux   embedded,open cv,matlab simulink,splicer,multicast,embedded c",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,cnc operator,cnc operators,automobile   auto ancillaries,1,"english,hindi,mechatronics,microsoft office",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded engineer,,automobile   auto ancillaries,1,"c,matlab,bluetooth low energy,embedded systems,embedded c",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,eng,,automobile   auto ancillaries,1,as a elect,0,1,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,graduate engineer trainee,btech in electrical engineering,automobile   auto ancillaries,1,"c programming,capl",1,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,graduate trainee engineer,graduate trainee engineer at hindstan aeronautics limited; nasik division.,automobile   auto ancillaries,1,"electronics hardware,power electronics de,electrical system de,pcb design on eagle,embedded system desi",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,job,marketing,automobile   auto ancillaries,1,"ms office,cryptography,michinary skills,dtp,fortinet",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,validation engineer,,automobile   auto ancillaries,1,"diagnostic protocol,sharepoint",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,sales executive,sales executive,automobile   auto ancillaries,1,"c,c++,controlling,english,immunizations,networkings",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,back office executive,,automobile   auto ancillaries,1,computer operator,0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,to get hold of a challenging career with a solid company; utilizing the opportunities to offer profe,automobile   auto ancillaries,1.08,"microcontrollers,microprocessors,operating systems,matlab,vhdl verilog and simulation tools,basics of c,vlsi",0,1,automobile,autoancillaries
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate engineer services department,associate in engineering services department at tata motors limited; graduate in b.tech 2014 ; branc,automobile   auto ancillaries,1.17,"c,soap,android,microsoft office",1,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,integration  and hardware testing engineer,integration and hardware testing engineer,automobile   auto ancillaries,1.25,"canalyzer,change,unix   general,automotive networkin",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,software engineer,experience in embedded development and testing,automobile   auto ancillaries,1.25,"embedded testing,army,operating systems,core java,c language,8051;8085 86,embedded c",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,accounts manager,rf engineer,automobile   auto ancillaries,1.42,"pcb design,andrid applicaion de",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,aharam pande,,automobile   auto ancillaries,1.42,martork,0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,electronics hardware design engineer,engineer,automobile   auto ancillaries,1.42,"hard work,good communication,english",1,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded design engineer,prashant pulgam. m.sc  electronics .,automobile   auto ancillaries,1.42,"embedded systems,c",0,0,automobile,autoancillaries
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistant edp,,automobile   auto ancillaries,1.5,ccna;routing protoco,0,1,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,assistant professor,mechatronics engineer,automobile   auto ancillaries,1.5,"board design,canalyzer,embedded hardware,embedded programming,actuators,orcade,8&amp;16 bit microco,proteus; geda simula,home  office automat,can ; spi; i2c; uart",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,electrical maintenance engineer,iti with one and half year experience in electrical,automobile   auto ancillaries,1.5,"electrical systems,electricians,writing,switchgears,ht,olt,transformers,electrical design,motorola,power distribution",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,automotive embedded systems engineer | r & d,automobile   auto ancillaries,1.5,"usart,device drivers,vhdl verilog and simulation tools,arm development suit  ads rvds,can,linux   embedded,i2c,rtos,c++ programming,data structures,embedded systems;emb,c,bihar,do 178b,sdlc,virtualization,embedded c",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded programmer,b.e,automobile   auto ancillaries,1.58,"army,8051 controller,pic controller,spi proocol,c,embedded c,microcontrollers,i2c protocol,spi protocol,can protocol",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded sw developer integrator,embedded sw developer for steering of automobile,automobile   auto ancillaries,1.58,"uds protocol,canape,embedded c,clear case and clear,can protocol,flexray protocol,canoe and canlyzer,enterprise architect,rtos,qac for static check",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,software developer,,automobile   auto ancillaries,1.58,"simulation tools,simulations,matlab,visual basic for applications   vba,c c++",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,automation engineer,b.tech,automobile   auto ancillaries,1.58,"dcs,place,scada,hmi,pnumatics,basic level of robot,vfd,field instruments",1,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,associate software engineer,automotive domain,automobile   auto ancillaries,1.67,"associate software e,analog electronics",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,area manager,current account officer,automobile   auto ancillaries,1.75,data entry,0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,b.e  ece  with 2 + yr of experience,automobile   auto ancillaries,1.83,"linux   embedded,robotics,cprogramming",0,0,automobile,autoancillaries
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,airtel tele communication,,automobile   auto ancillaries,2,"[u''],tele communications",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,associate hardware  and chip design,,automobile   auto ancillaries,2,"annual contract maintenance,bios,administration",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,em simulation engineer,em simulation engineer,automobile   auto ancillaries,2,"matlab,rf designing softwar,c language",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded engineer,dasari praneetha,automobile   auto ancillaries,2,"dfmea,embedded design,embedded hardware,embedded hardware,embedded testing,requirements gathering,test case design,test coverage,reliability testing,safety engineering",1,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,automobiles,,automobile   auto ancillaries,2,digital hardware,0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,systems engineer,systems engineer,automobile   auto ancillaries,2.17,"model based design,matlab,simulations,stateflow,embedded coder,c,digital image proces,signal processing,computer vision,opencv",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,senior software engineer,senior software engineer at robert bosch engineering & business sol. pvt. ltd,automobile   auto ancillaries,2.17,"c programing,ext4 filesystem,linux kernel drivers,emmc and jedec under,system startup,uboot and initramfs,lauterbach debugging,shell script,automotive infotainm",1,0,automobile,autoancillaries
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,adim assistant,,automobile   auto ancillaries,2.25,"networkings,system administratio,unix   general",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,senior hardware design engineer,hardware engineer with sound knwledge in analog design,automobile   auto ancillaries,2.25,"analog circuits design,dac,embedded hardware,pcb design,adca,ethernet,embedded systems,matlab,hardware designing,digital design,can,i2c,analog integrated ci,lt spice,usb;spi,power budgecting",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,sse,embedded engineer with 2.4 years of experience in engineering services,automobile   auto ancillaries,2.33,"embedded programming,qac,rtrt,embedded systems,c++,java,test management tools,plm,tcl,vlsi,vector canoe,embedded c,rte",1,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,sse,embedded engineer with 2.4 years of experience in engineering services,automobile   auto ancillaries,2.33,"embedded systems,c++,java,test management tools,plm,c,vlsi",1,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,air force,,automobile   auto ancillaries,2.42,,0,0,it,hardwarenetworking
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,accountant,,automobile   auto ancillaries,2.5,networking protocols,0,0,automobile,autoancillaries
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,area sales executive,,automobile   auto ancillaries,2.5,"marketing exe.,m.b.a. hr+marketing,mba marketing+hr,area sales exe.,hard work,sencearitiy",0,1,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,back office process,computer operator,automobile   auto ancillaries,2.5,"computer software applications,back office and billing,a+,computer operator,computer operator,edp operator",0,1,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,back office process,computer operator,automobile   auto ancillaries,2.5,"computer software applications,back office and billing,a+,computer operator,edp operator",0,1,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,senior software engineer,senior software engineer at robert bosch engineering & business sol. pvt. ltd,automobile   auto ancillaries,2.75,"c programing,ext4 filesystem,linux kernel drivers,emmc and jedec under,system startup,uboot and initramfs,lauterbach debugging,shell script,automotive infotainm",1,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,cyber menegment,service maneger,automobile   auto ancillaries,2.92,"spares inventory management,sels&amp;menegment",0,0,automobile,autoancillaries
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin executive,,automobile   auto ancillaries,3,"accounts and administration,account and admin",0,0,automobile,autoancillaries
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin manager,,automobile   auto ancillaries,3,system administratio,0,0,automobile,autoancillaries
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator edp manager,,automobile   auto ancillaries,3,"networkings,system administratio,linux general,unix   general",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assi.executive,computer hardware & networking engineer,automobile   auto ancillaries,3,"1,networkings,1;25000",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,electronics engineer with two plus years of experience in the following: embedded software developme,automobile   auto ancillaries,3,"assembly language,perl,can,i2c,spice",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded system design engineer,harisha k s_ 3yrs exp_embedded design & development engineer,automobile   auto ancillaries,3,"matlab,embedded c,embebbed c++",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,months exp napino auto electronics ltd.,3 year exp. in electronics engg. 1 year work in hcl infosystem; 10 month working napino auto electro,automobile   auto ancillaries,3,"computer manufacturi,make cdi card for mo,service engg.",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,software design engineer,software design,automobile   auto ancillaries,3,"embedded programming,microcontrollers,c,i2c,spice,rtos,embedded c,sdlc,army,keil",0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,software engineer,,automobile   auto ancillaries,3,"microcontrollers,embedded systems,embedded c,xilinx,phython",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bank office incharge,rohan modi,automobile   auto ancillaries,3,"stores,computer opreater",0,0,automobile,autoancillaries
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,asociate,,automobile   auto ancillaries,3.17,associates,0,0,automobile,autoancillaries
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,software engineer,java,automobile   auto ancillaries,3.33,"java,oracle9i,plsql,j2ee,supervising,hibernet,structures",0,0,automobile,autoancillaries
