,User_SubFunctional_Area,User_Functional_Area,User_JobTitle,User_ProfileTitle,User_Industry,User_Experience (Years),User_Skills,Relevant_Degree,Releveant_Cert,Industry,Sector,Relevant_Skills,Relevant_Match_Score
29,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,ambience group; noida,,advertising   mr   pr   events,6-12 exp,"softeware,internet softeware,system softeware,system analysis,system development lifecycle,linux   general,operating systems,utility softeware,windows 2000 professional,windows 2000 server,windows nt client,windows xp,symbian,systems database administration,internet security,network configuration,network topology,system administration,windows nt administration,,,,monitoring calls,,winrunner,internet technology,win32,windows 2003,sharepoint,winfiol,windows kernel,nortel wireless",0,0,advertising,mrprevents,1,1.0
30,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin head,desktop support engineer,agriculture   dairy,6-12 exp,"system administration,desktop admin,bpo",0,0,agriculture,dairy,1,0.84
31,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,agriculture assistant,,agriculture   dairy,6-12 exp,"java,agriculture assistan",0,0,agriculture,dairy,0,0
32,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,accountant,accountant,agriculture   dairy,6-12 exp,"data entry,,,,ms excel",0,0,agriculture,dairy,0,0
33,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,activation educative network,dibyaranjan swain's cv,agriculture   dairy,6-12 exp,pgdca,0,0,agriculture,dairy,0,0
34,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,call centre,,agriculture   dairy,6-12 exp,,0,0,telecom,isp,0,0
35,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,col,chandausi,agriculture   dairy,6-12 exp,",colour graphics",0,0,agriculture,dairy,0,0
36,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,col,chandausi,agriculture   dairy,6-12 exp,",colour graphics,colour graphics,colour graphics,colour graphics,colour graphics,colour graphics,colour graphics,colour graphics",0,0,agriculture,dairy,0,0
37,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,agm administration  and office work,cv,agriculture   dairy,6-12 exp,"oracle forms,[u'']mis fms",0,0,agriculture,dairy,0,0
38,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistant computer,,agriculture   dairy,6-12 exp,"dbms servers,java,j2ee; dbms; c; c++;",0,0,agriculture,dairy,0,0
39,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,agriculture,balaram mahato,agriculture   dairy,6-12 exp,"practicak,1,computer application",0,0,agriculture,dairy,0,0
40,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistant,computer hardware maintenance and all office works like deo; etc.,agriculture   dairy,6-12 exp,"banking operations,computer maintenance repair,system administration,cashier,,,computer operator",0,0,agriculture,dairy,1,0.84
41,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,accounted,m.a,agriculture   dairy,6-12 exp,"data entry,traveling,,data oprator,,,",0,1,agriculture,dairy,0,0
42,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,area manegar,,agriculture   dairy,6-12 exp,,0,0,agriculture,dairy,0,0
43,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin executive,,agriculture   dairy,6-12 exp,networkings,0,0,agriculture,dairy,0,0
44,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant deputy manager computer architecture,,agriculture   dairy,6-12 exp,altium,0,0,agriculture,dairy,0,0
45,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,backend manager,,agriculture   dairy,6-12 exp,,0,0,agriculture,dairy,0,0
46,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,adsf,network administrator,agriculture   dairy,6-12 exp,"firewalls,resolution,network administration,link load balancer,server load balancer",0,0,agriculture,dairy,1,0.86
47,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,archives clerk,,agriculture   dairy,6-12 exp,"networkings,system administratio,investigation,maintaining severs",0,0,agriculture,dairy,0,0
48,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,kjhkjhkjhkjh,unknown,agriculture   dairy,6-12 exp,notkljhkjh,0,0,agriculture,dairy,0,0
49,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,agronomist,,agriculture   dairy,12+,"agricultural sciences natural resources,network engineer",0,0,agriculture,dairy,0,0
50,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,animation,,animation,6-12 exp,",",0,0,animation,animation,0,0
51,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,data admin,prashant cv,animation,6-12 exp,"hardware & networkin,desktop engineer",0,0,animation,animation,0,0
52,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,2 d flash animator,flash animator,animation,6-12 exp,"adobe photoshop,indesign,flash,flash animation",0,0,animation,animation,0,0
53,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin representative,senior admin executive,animation,6-12 exp,"administration,,",0,0,animation,animation,1,1.0
54,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,engineer trainee,b.tech in ece with vlsi & plc training,architecture   interior design,6-12 exp,",vlsi,plc programming,robotics",1,0,architecture,interiordesign,0,0
55,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,architect,,architecture   interior design,6-12 exp,"automated,review,sketchup,photoshop",0,0,architecture,interiordesign,0,0
56,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,autocad 2 d  and 3 d,intrested in construction line,architecture   interior design,6-12 exp,"mdt,",0,0,architecture,interiordesign,0,0
57,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrative manager desktop manager,desktop support manager   administration manager,architecture   interior design,6-12 exp,"photo editing,,,,",0,0,architecture,interiordesign,0,0
58,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,acting team leader,,architecture   interior design,6-12 exp,"networkings,system administratio,linux general,unix   general,windows7",0,0,architecture,interiordesign,0,0
59,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,autocad draughtsman,autocad draughtsman,architecture   interior design,6-12 exp,autocad draughtsman,0,0,architecture,interiordesign,0,0
60,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,admin,architecture   interior design,6-12 exp,"dhcp,dhcp server,networking protocols,tcp ip,dns,,assembling",0,0,architecture,interiordesign,0,0
61,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,3 d graphics,,architecture   interior design,6-12 exp,,0,0,it,hardwarenetworking,0,0
62,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,10.02 year technical experience excellent server; software security troubleshooting ski,,architecture   interior design,6-12 exp,"windows7 server 2003,isa server 2004 2006,win xp 7 8,ntbackup; acronis ba,norton antivirus cor,,microsoft active dir,system administratio,windows7,networkings",0,0,architecture,interiordesign,0,0
63,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant manager,,architecture   interior design,6-12 exp,"anti virus,firewalls,systems &,,network administration,,active directory",1,1,architecture,interiordesign,1,0.86
64,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant manager,system & network administrator,architecture   interior design,6-12 exp,"dhcp server,firewalls,network monitoring &,specialty,systems &,,network administration,specialty,,active directory,v lan,syamntec anti virus,windows server admin",1,1,architecture,interiordesign,1,0.86
65,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,computer opreator cyber cafe,,astrology,6-12 exp,"1,hardwere & networkin,iti copa,,",0,0,astrology,astrology,0,0
66,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,accountant,,astrology,6-12 exp,,0,0,telecom,isp,0,0
67,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,hyjmu6yhm,,astrology,6-12 exp,,0,0,astrology,astrology,0,0
68,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin head,,astrology,6-12 exp,"netwrokiings,netwroki",0,1,astrology,astrology,0,0
69,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,black magic specialist vashikaran specialist babaji+91,,astrology,12+,"pandit avinash bharg,pandit avinash bharg",0,0,astrology,astrology,0,0
70,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,trainee,,automobile   auto ancillaries,6-12 exp,academic,0,0,automobile,autoancillaries,0,0
71,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,hardware design engineer,hardware design engineer,automobile   auto ancillaries,6-12 exp,"army,microcontrollers,operating systems,xilinx   embedded,rtos,java,embedded c,xilinx,android app",0,0,automobile,autoancillaries,1,0.76
72,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,intern,intern,automobile   auto ancillaries,6-12 exp,"embedded programing,verilog programming,linux scripting",0,0,automobile,autoancillaries,1,0.76
73,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,apprenties,10+2 & i.t.i.,automobile   auto ancillaries,6-12 exp,"process training,technical training,,",0,0,automobile,autoancillaries,0,0
74,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,cnc machine programmer; computer auto cad desigening,,automobile   auto ancillaries,6-12 exp,computer auto cad de,0,0,automobile,autoancillaries,0,0
75,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,design engineer,intern,automobile   auto ancillaries,6-12 exp,"c,verilog,8051 mc programming,c,c++,verilog",0,0,automobile,autoancillaries,0,0
76,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded engineer,be fresher,automobile   auto ancillaries,6-12 exp,"embedded software cellular wireless,,,languages known c;c+",0,0,automobile,autoancillaries,1,0.76
77,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,jobs,hardware,automobile   auto ancillaries,6-12 exp,",hardware networker",0,0,automobile,autoancillaries,0,0
78,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,automobile service,iti fitter,automobile   auto ancillaries,6-12 exp,"completed credit cou,,basic welding,basic electrical",0,0,automobile,autoancillaries,0,0
79,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,graduate engineer trainee,graduate engineer trainee,automobile   auto ancillaries,6-12 exp,"automotive application,automotive embedded electronics,,c,eclipse,embedded c,hardware design,matlab,arduino programming",1,0,automobile,autoancillaries,1,0.76
80,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,onsite trainee,searching for full time employment in automotive electronics  software hardware ,automobile   auto ancillaries,6-12 exp,"alyzer,microsoft visual studio,modelsim,,linux   embedded,open cv,matlab simulink,splicer,multicast,embedded c",0,0,automobile,autoancillaries,1,0.76
81,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,cnc operator,cnc operators,automobile   auto ancillaries,6-12 exp,",,mechatronics,",0,0,automobile,autoancillaries,0,0
82,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded engineer,,automobile   auto ancillaries,6-12 exp,"c,matlab,bluetooth low energy,embedded systems,embedded c",0,0,automobile,autoancillaries,1,0.76
83,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,eng,,automobile   auto ancillaries,6-12 exp,,0,1,automobile,autoancillaries,0,0
84,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,graduate engineer trainee,btech in electrical engineering,automobile   auto ancillaries,6-12 exp,"c programming,capl",1,0,automobile,autoancillaries,0,0
85,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,graduate trainee engineer,graduate trainee engineer at hindstan aeronautics limited; nasik division.,automobile   auto ancillaries,6-12 exp,"electronics hardware,power electronics de,electrical system de,,embedded system desi",0,0,automobile,autoancillaries,1,0.76
86,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,job,marketing,automobile   auto ancillaries,6-12 exp,",cryptography,michinary skills,dtp,fortinet",0,0,automobile,autoancillaries,0,0
87,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,validation engineer,,automobile   auto ancillaries,6-12 exp,"diagnostic protocol,sharepoint",0,0,automobile,autoancillaries,0,0
88,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,sales executive,sales executive,automobile   auto ancillaries,6-12 exp,"c,c++,controlling,,immunizations,networkings",0,0,automobile,autoancillaries,0,0
89,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,back office executive,,automobile   auto ancillaries,6-12 exp,computer operator,0,0,automobile,autoancillaries,0,0
90,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,to get hold of a challenging career with a solid company; utilizing the opportunities to offer profe,automobile   auto ancillaries,6-12 exp,"microcontrollers,microprocessors,operating systems,matlab,,,vlsi",0,1,automobile,autoancillaries,0,0
91,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate engineer services department,associate in engineering services department at tata motors limited; graduate in b.tech 2014 ; branc,automobile   auto ancillaries,6-12 exp,"c,soap,android,",1,0,automobile,autoancillaries,0,0
92,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,integration  and hardware testing engineer,integration and hardware testing engineer,automobile   auto ancillaries,6-12 exp,"canalyzer,change,unix   general,automotive networkin",0,0,automobile,autoancillaries,0,0
93,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,software engineer,experience in embedded development and testing,automobile   auto ancillaries,6-12 exp,"embedded testing,army,operating systems,core java,c language,8051;8085 86,embedded c",0,0,automobile,autoancillaries,1,0.76
94,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,accounts manager,rf engineer,automobile   auto ancillaries,6-12 exp,"pcb design,andrid applicaion de",0,0,automobile,autoancillaries,0,0
95,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,aharam pande,,automobile   auto ancillaries,6-12 exp,martork,0,0,automobile,autoancillaries,0,0
96,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,electronics hardware design engineer,engineer,automobile   auto ancillaries,6-12 exp,"hard work,good communication,",1,0,automobile,autoancillaries,0,0
97,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded design engineer,prashant pulgam. m.sc  electronics .,automobile   auto ancillaries,6-12 exp,"embedded systems,c",0,0,automobile,autoancillaries,1,0.76
98,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistant edp,,automobile   auto ancillaries,6-12 exp,,0,1,automobile,autoancillaries,0,0
99,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,assistant professor,mechatronics engineer,automobile   auto ancillaries,6-12 exp,"board design,canalyzer,embedded hardware,embedded programming,actuators,orcade,,proteus; geda simula,,",0,0,automobile,autoancillaries,1,0.76
100,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,electrical maintenance engineer,iti with one and half year experience in electrical,automobile   auto ancillaries,6-12 exp,"electrical systems,electricians,writing,switchgears,ht,olt,transformers,electrical design,motorola,power distribution",0,0,automobile,autoancillaries,0,0
101,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,automotive embedded systems engineer | r & d,automobile   auto ancillaries,6-12 exp,"usart,device drivers,,arm development suit  ads rvds,,linux   embedded,i2c,rtos,c++ programming,data structures,embedded systems;emb,c,bihar,,sdlc,virtualization,embedded c",0,0,automobile,autoancillaries,1,0.76
102,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded programmer,b.e,automobile   auto ancillaries,6-12 exp,"army,8051 controller,pic controller,spi proocol,c,embedded c,microcontrollers,i2c protocol,spi protocol,",0,0,automobile,autoancillaries,1,0.76
103,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded sw developer integrator,embedded sw developer for steering of automobile,automobile   auto ancillaries,6-12 exp,"uds protocol,canape,embedded c,,,flexray protocol,,enterprise architect,rtos,",0,0,automobile,autoancillaries,1,0.76
104,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,software developer,,automobile   auto ancillaries,6-12 exp,"simulation tools,simulations,matlab,,c c++",0,0,automobile,autoancillaries,0,0
105,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,automation engineer,b.tech,automobile   auto ancillaries,6-12 exp,"dcs,place,scada,hmi,pnumatics,,vfd,field instruments",1,0,automobile,autoancillaries,0,0
106,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,associate software engineer,automotive domain,automobile   auto ancillaries,6-12 exp,"associate software e,analog electronics",0,0,automobile,autoancillaries,0,0
107,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,area manager,current account officer,automobile   auto ancillaries,6-12 exp,data entry,0,0,automobile,autoancillaries,0,0
108,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,b.e  ece  with 2 + yr of experience,automobile   auto ancillaries,6-12 exp,"linux   embedded,robotics,cprogramming",0,0,automobile,autoancillaries,1,0.76
109,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,airtel tele communication,,automobile   auto ancillaries,6-12 exp,"[u''],tele communications",0,0,automobile,autoancillaries,0,0
110,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,associate hardware  and chip design,,automobile   auto ancillaries,6-12 exp,"annual contract maintenance,bios,administration",0,0,automobile,autoancillaries,0,0
111,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,em simulation engineer,em simulation engineer,automobile   auto ancillaries,6-12 exp,"matlab,rf designing softwar,c language",0,0,automobile,autoancillaries,0,0
112,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded engineer,dasari praneetha,automobile   auto ancillaries,6-12 exp,"dfmea,embedded design,embedded hardware,embedded hardware,embedded testing,requirements gathering,test case design,test coverage,reliability testing,",1,0,automobile,autoancillaries,1,0.76
113,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,automobiles,,automobile   auto ancillaries,6-12 exp,digital hardware,0,0,automobile,autoancillaries,0,0
114,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,systems engineer,systems engineer,automobile   auto ancillaries,6-12 exp,"model based design,matlab,simulations,stateflow,embedded coder,c,digital image proces,signal processing,,opencv",0,0,automobile,autoancillaries,1,0.76
115,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,senior software engineer,senior software engineer at robert bosch engineering & business sol. pvt. ltd,automobile   auto ancillaries,6-12 exp,"c programing,ext4 filesystem,linux kernel drivers,,system startup,,lauterbach debugging,shell script,automotive infotainm",1,0,automobile,autoancillaries,0,0
116,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,adim assistant,,automobile   auto ancillaries,6-12 exp,"networkings,system administratio,unix   general",0,0,automobile,autoancillaries,1,0.78
117,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,senior hardware design engineer,hardware engineer with sound knwledge in analog design,automobile   auto ancillaries,6-12 exp,"analog circuits design,dac,embedded hardware,pcb design,adca,,embedded systems,matlab,hardware designing,digital design,,i2c,analog integrated ci,lt spice,usb;spi,power budgecting",0,0,automobile,autoancillaries,1,0.76
118,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,sse,embedded engineer with 2.4 years of experience in engineering services,automobile   auto ancillaries,6-12 exp,"embedded programming,qac,rtrt,embedded systems,c++,java,,plm,tcl,vlsi,vector canoe,embedded c,",1,0,automobile,autoancillaries,1,1.0
119,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,sse,embedded engineer with 2.4 years of experience in engineering services,automobile   auto ancillaries,6-12 exp,"embedded systems,c++,java,,plm,c,vlsi",1,0,automobile,autoancillaries,1,1.0
120,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,air force,,automobile   auto ancillaries,6-12 exp,,0,0,it,hardwarenetworking,0,0
121,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,accountant,,automobile   auto ancillaries,6-12 exp,networking protocols,0,0,automobile,autoancillaries,0,0
122,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,area sales executive,,automobile   auto ancillaries,6-12 exp,"marketing exe.,,mba marketing+hr,,hard work,sencearitiy",0,1,automobile,autoancillaries,0,0
123,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,back office process,computer operator,automobile   auto ancillaries,6-12 exp,"computer software applications,,,computer operator,computer operator,edp operator",0,1,automobile,autoancillaries,0,0
124,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,back office process,computer operator,automobile   auto ancillaries,6-12 exp,"computer software applications,,,computer operator,edp operator",0,1,automobile,autoancillaries,0,0
125,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,senior software engineer,senior software engineer at robert bosch engineering & business sol. pvt. ltd,automobile   auto ancillaries,6-12 exp,"c programing,ext4 filesystem,linux kernel drivers,,system startup,,lauterbach debugging,shell script,automotive infotainm",1,0,automobile,autoancillaries,0,0
126,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,cyber menegment,service maneger,automobile   auto ancillaries,6-12 exp,",",0,0,automobile,autoancillaries,0,0
127,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin executive,,automobile   auto ancillaries,6-12 exp,",",0,0,automobile,autoancillaries,0,0
128,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin manager,,automobile   auto ancillaries,6-12 exp,system administratio,0,0,automobile,autoancillaries,1,0.82
129,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator edp manager,,automobile   auto ancillaries,6-12 exp,"networkings,system administratio,linux general,unix   general",0,0,automobile,autoancillaries,1,0.73
130,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assi.executive,computer hardware & networking engineer,automobile   auto ancillaries,6-12 exp,"1,networkings,1;25000",0,0,automobile,autoancillaries,0,0
131,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,electronics engineer with two plus years of experience in the following: embedded software developme,automobile   auto ancillaries,6-12 exp,"assembly language,perl,,i2c,",0,0,automobile,autoancillaries,0,0
